cluster,n,name,ann_volatility,downside_volatility,beta,mom_3m,mom_6m,mom_12m,max_drawdown,return_skew,return_kurtosis,log_turnover
0,94,High-beta cyclicals,0.4588844251042625,0.2814479993074686,1.402917388327554,-0.0335013034947821,0.05051253583887859,-0.04167297612231948,-0.5454409476057445,0.6432756672240081,5.942833221127799,8.83557279005668
1,75,Momentum leaders,0.4232298862923782,0.25708612186057067,1.1736750429526939,0.24122575794372295,0.5320930558185272,0.5752695497846811,-0.44659803456944674,0.5430278238679808,5.095489015193887,8.799137657254613
2,128,Quiet mid-caps,0.3381130313096886,0.19942111760102793,0.8169362248044207,0.04259793899780112,0.08116048233115765,-0.05330513335886204,-0.4355228893265517,0.7878499223323269,5.547847547649527,8.390880786186752
3,130,Large-cap defensives,0.27636148801298976,0.18564331846006796,0.7769579765502513,0.033459479541706375,0.005900212381833929,0.03192428602258428,-0.3312668268395855,-0.017697342414187453,4.048483997328878,9.28397595238912
4,11,Tail-risk,0.37933793462554843,0.3134040946810254,1.1523218706932787,0.004734285124482807,0.11056939730894264,-0.024795682088951564,-0.5548710883432798,-1.7218089441178508,23.033053810318815,9.230864983154689
